dates,predicted
2023-12-01,41795595.277958244
2024-01-01,41773187.01701333
2024-02-01,41510179.649281934
2024-03-01,42286643.88908419
2024-04-01,41891354.20340787
2024-05-01,40777056.93168096
2024-06-01,40092810.251745895
2024-07-01,40048447.754044086
2024-08-01,40864857.238431744
2024-09-01,41273397.82451473
2024-10-01,41953640.603887536
2024-11-01,41958859.37684924
2024-12-01,41795703.601568535
2025-01-01,41773273.62941779
2025-02-01,41510248.50293635
2025-03-01,42286700.002346165
2025-04-01,41891398.674380295
2025-05-01,40777091.56212367
2025-06-01,40092837.49121351
2025-07-01,40048469.5215044
2025-08-01,40864875.00739222
2025-09-01,41273412.18179659
2025-10-01,41953652.27901499
2025-11-01,41958868.71811283
2025-12-01,41795711.045520715
2026-01-01,41773279.58138352
2026-02-01,41510253.234527536
2026-03-01,42286703.85842272
2026-04-01,41891401.73040384
2026-05-01,40777093.94191064
2026-06-01,40092839.36309619
2026-07-01,40048471.017353415
2026-08-01,40864876.22846631
2026-09-01,41273413.16842178
2026-10-01,41953653.08132376
2026-11-01,41958869.360039525
2026-12-01,41795711.55706507
2027-01-01,41773279.99039943
2027-02-01,41510253.559679925
2027-03-01,42286704.123410255
2027-04-01,41891401.94041213
2027-05-01,40777094.105448276
2027-06-01,40092839.49173086
2027-07-01,40048471.12014727
2027-08-01,40864876.31237771
2027-09-01,41273413.236222066
2027-10-01,41953653.136457995
2027-11-01,41958869.40415243
2027-12-01,41795711.59221817
2028-01-01,41773280.01850681
2028-02-01,41510253.58202431
2028-03-01,42286704.14162009
2028-04-01,41891401.95484385
2028-05-01,40777094.116686516
2028-06-01,40092839.50057059
2028-07-01,40048471.12721123
2028-08-01,40864876.318144165
2028-09-01,41273413.24088132
2028-10-01,41953653.14024682
2028-11-01,41958869.40718387
2028-12-01,41795711.59463392
2029-01-01,41773280.02043834
2029-02-01,41510253.58355981
2029-03-01,42286704.14287153
2029-04-01,41891401.95583564
2029-05-01,40777094.11745881
2029-06-01,40092839.50117809
2029-07-01,40048471.127696685
2029-08-01,40864876.318540365
2029-09-01,41273413.241201416
2029-10-01,41953653.140507065
2029-11-01,41958869.40739212
2029-12-01,41795711.59479993
2030-01-01,41773280.02057102
2030-02-01,41510253.58366525
2030-03-01,42286704.142957464
2030-04-01,41891401.95590365
2030-05-01,40777094.11751184
2030-06-01,40092839.50121968
2030-07-01,40048471.12772984
2030-08-01,40864876.318567365
2030-09-01,41273413.24122326
2030-10-01,41953653.140524805
2030-11-01,41958869.407406285
2030-12-01,41795711.59481107
2031-01-01,41773280.02057993
2031-02-01,41510253.58367234
2031-03-01,42286704.14296317
2031-04-01,41891401.95590827
2031-05-01,40777094.11751531
2031-06-01,40092839.50122239
2031-07-01,40048471.12773197
2031-08-01,40864876.31856911
2031-09-01,41273413.24122458
2031-10-01,41953653.14052585
2031-11-01,41958869.40740703
2031-12-01,41795711.59481166
2032-01-01,41773280.02058037
2032-02-01,41510253.58367263
2032-03-01,42286704.14296332
2032-04-01,41891401.95590827
2032-05-01,40777094.11751531
2032-06-01,40092839.50122239
2032-07-01,40048471.12773197
2032-08-01,40864876.31856911
2032-09-01,41273413.24122458
2032-10-01,41953653.14052585
2032-11-01,41958869.40740703
2032-12-01,41795711.59481166
2033-01-01,41773280.02058037
2033-02-01,41510253.58367263
2033-03-01,42286704.14296332
2033-04-01,41891401.95590827
2033-05-01,40777094.11751531
2033-06-01,40092839.50122239
2033-07-01,40048471.12773197
2033-08-01,40864876.31856911
2033-09-01,41273413.24122458
2033-10-01,41953653.14052585
2033-11-01,41958869.40740703
